Título,Rating,Porciones,Tiempo total,Ingredientes,Descripción,Pasos,Nutrición
Balsamic Chicken and Pasta,4.5,6,3 hrs,"['3 cloves garlic, minced', '2 ounces fresh basil leaves', '3/4 cup olive oil, divided', '3/4 cup balsamic vinegar, divided', '6 skinless, boneless chicken breasts', '1 tablespoon salt, and more to taste', '1 ½ teaspoons ground black pepper, and more to taste', '1 pound penne pasta', '2 pints grape tomatoes, halved']","This balsamic chicken and pasta recipe is a delicious combination of chicken, pasta, and tomatoes. Serve it warm or chilled for a great meal on a warm summer day! This recipe may look a bit complicated, but I promise you, it is not. You can cook the chicken on the stove or a grill. It is ideal for large family gatherings, and you don't need to serve it with anything other than a good loaf of bread to sop the juices. I hope your family enjoys this as much as mine has.","['Place garlic cloves in the bowl of a food processor or blender; pulse until minced. Add 1/3 basil leaves; pulse until fine. Add 1/2 cup olive oil; process until mixture turns light yellow with flecks of basil. Add 1/2 cup balsamic vinegar; process until just combined.', 'Place chicken breasts, 1 tablespoon salt, 1 1/2 teaspoons pepper, and puréed basil mixture into a large resealable plastic bag. Squeeze out excess air, seal the bag, and toss to coat chicken with marinade. Marinate in the refrigerator for 2 hours, or up to overnight, turning occasionally.', 'Preheat the oven to 300 degrees F (150 degrees C).', 'Brown chicken in a large skillet over high heat, 4 to 5 minutes per side; transfer to a large baking dish. Bake in the preheated oven until cooked through, 15 to 20 minutes.', 'Transfer chicken to a cutting board; slice into 1/4-inch strips. Return to baking dish to absorb cooking juices. Keep warm.', 'Meanwhile, bring a large pot of lightly salted water to a boil. Add penne and cook, stirring occasionally, until tender yet firm to the bite, about 11 minutes. Drain well. Stir in chicken and juices from the baking dish.', 'Thinly slice remaining 2/3 basil leaves; place in a large serving bowl along with tomatoes. Stir in remaining each 1/4 cup olive oil and balsamic vinegar; season with salt and black pepper. Top basil and tomatoes with pasta, sauce, and chicken; toss to combine.']","{'Calories': '682', 'Fat': '32g', 'Carbs': '65g', 'Protein': '35g'}"
Mexican Chicken Tinga,4.6,8,35 mins,"['2 tablespoons olive oil', '1 large onion, diced', '1 (15 ounce) can stewed tomatoes', '1 (7 ounce) can chipotle peppers in adobo sauce, or to taste', '2 pounds shredded cooked chicken meat', '16 tostada shells', '½ cup sour cream']","Mexican chicken tinga, or tinga de pollo, is a shredded chicken dish with tender sliced onions cooked in a spicy tomato and chipotle chili sauce. Delicious served on crunchy tostada shells topped with sour cream. This recipe is easy to make and great for feeding a crowd!","['Heat oil in a saucepan over medium heat. Add onions; cook and stir until softened and translucent, about 5 minutes.', 'Meanwhile, blend tomatoes and chipotle peppers in adobo sauce in a blender.', 'Pour pureed mixture over onions in the saucepan; add chicken and stir to combine. Cover and simmer until hot and heated through, about 20 minutes.', 'Mound shredded chicken mixture onto tostada shells and garnish with sour cream.']","{'Calories': '402', 'Fat': '20g', 'Carbs': '21g', 'Protein': '34g'}"
Chicken Tortilla Soup,4.7,8,40 mins,"['1 tablespoon olive oil', '1 medium onion, chopped', '3 cloves garlic, minced', '1 (28 ounce) can crushed tomatoes', '1 (10.5 ounce) can condensed chicken broth', '1 ¼ cups water', '2 teaspoons chili powder', '1 teaspoon dried oregano', '1 (15 ounce) can black beans, rinsed and drained', '2 large boneless chicken breast halves, cooked and cut into bite-sized pieces', '1 cup whole corn kernels, cooked', '1 cup white hominy', '1 (4 ounce) can chopped green chile peppers', '¼ cup chopped fresh cilantro', '½ cup crushed tortilla chips, or to taste', '2 medium avocados, sliced, or to taste', '½ cup shredded Monterey Jack cheese, or to taste', '2 tablespoons chopped green onions, or to taste']","This comforting chicken tortilla soup with shredded chicken, black beans, and corn is quick to make, full of flavor, and very filling! Garnish with chopped fresh avocado, Monterey Jack cheese, crushed tortilla chips, and green onion.","['Gather all ingredients.', 'Heat oil in a stockpot over medium heat. Add onion and garlic; sauté until soft, about 5 minutes. Stir in chili powder and oregano.', 'Stir in crushed tomatoes, condensed broth, and water; bring to a boil. Reduce heat and simmer for 5 to 10 minutes.', 'Stir in black beans, cooked chicken, corn, hominy, chile peppers, and cilantro. Simmer for 10 minutes.', 'Ladle soup into individual serving bowls, and top with crushed tortilla chips, avocado slices, Monterey Jack cheese, and green onions.']","{'Calories': '352', 'Fat': '18g', 'Carbs': '34g', 'Protein': '19g'}"
The Best Chicken Fried Steak,4.5,4,40 mins,"['4 (½ pound) beef cube steaks', '2 ¼ cups all-purpose flour, divided', '2 teaspoons baking powder', '1 teaspoon baking soda', '1 teaspoon black pepper', '¾ teaspoon salt', '1 ½ cups buttermilk', '1 tablespoon hot pepper sauce (e.g. Tabasco™)', '1 large egg', '2 cloves garlic, minced', '3 cups vegetable shortening for frying', '4 cups milk', 'kosher salt and ground black pepper to taste']","This chicken fried steak recipe is one I received from a co-worker about 5 years ago. A Southern favorite, these crispy, breaded, tenderized cube steaks drenched in creamy gravy can be served for breakfast or dinner. It's by far the best chicken fried steak I've ever had. I've made this numerous times for my picky son and my Southern-raised better half, as well as for other family and friends and each time, I get nothing but rave reviews.","['Place steaks between 2 layers of plastic and pound to a thickness of 1/4 inch.', 'Place 2 cups flour in a shallow bowl.', 'Stir together baking powder, baking soda 1 teaspoon pepper, and 3/4 teaspoon salt in second shallow bowl. Add buttermilk, Tabasco sauce, egg, and garlic; stir to combine.', 'Heat shortening in a deep cast-iron skillet to 325 degrees F (165 degrees C). Place a wire rack over a sheet of parchment paper.', 'While the shortening is heating, dredge a steak in flour to coat; shake off excess. Dip into buttermilk batter; lift up so excess batter drips back into the bowl. Press in flour again to coat both sides completely. Place breaded steak on the wire rack and repeat to bread remaining steaks.', 'Fry steaks, in batches if necessary, until evenly golden brown, 3 to 5 minutes per side. Remove steaks to a paper towel-lined plate to drain. Cover with foil to keep warm while you make the gravy.', 'Drain fat from the skillet, reserving 1/4 cup of the liquid and as much of the solid remnants as possible.', 'Return the skillet to medium-low heat; add the reserved oil. Whisk the remaining 1/4 cup flour into the oil. Scrape the bottom of the pan with a spatula to release solids into the gravy.', 'Stir in milk, increase the heat to medium, and bring the gravy to a simmer. Cook, stirring often, until thick, 6 to 7 minutes. Season with kosher salt and pepper.', 'Transfer steaks to a platter and pour gravy over top.']","{'Calories': '832', 'Fat': '29g', 'Carbs': '71g', 'Protein': '68g'}"
Old-Fashioned Chicken and Dumplings,4.3,20,1 hr,"['7 pounds cut up chicken pieces', '4 cups chicken stock', '2  onions, chopped', '3 stalks celery, chopped', '2 teaspoons salt', '1 large egg', '¼ cup milk', '1 ½ cups all-purpose flour, divided', '1 ½ teaspoons baking powder', '1 teaspoon salt', '2 tablespoons cold unsalted butter', '1 tablespoon chopped fresh parsley', '1 cup water', '½ teaspoon ground black pepper', '1 tablespoon chopped fresh parsley']",This old-fashioned chicken and dumplings recipe is comfort food that can't be topped!,"['Gather the ingredients.', 'Start the soup: Place chicken pieces in a large pot; add chicken stock, onions, celery, and salt. Bring to a boil over medium-low heat, then simmer, partially covered, until chicken is tender, about 15 to 20 minutes.', 'Meanwhile, make the dumplings: Beat egg and milk together in a large mixing bowl. Mix in 1 cup flour, baking powder, and salt.', 'Grate cold butter into the wet flour mixture; stir in parsley.', 'Dollop 6 large spoonfuls of dumpling mixture onto the top of the simmering chicken. Cover the pot and steam dumplings until fluffy, 10 minutes more.', 'Remove dumplings and chicken pieces to a large dish; shred chicken and discard bones. Cover and set aside, keeping warm.', 'For the gravy: Strain stock left in the pot, pressing the vegetables to release more flavor; return stock to the pot.', 'Whisk water with remaining 1/2 cup flour until smooth; stir into the strained stock. Season with pepper and bring to a boil, stirring constantly, to thicken.', 'Stir in chicken and top with dumplings.', 'Serve with parsley and enjoy!']","{'Calories': '400', 'Fat': '26g', 'Carbs': '9g', 'Protein': '31g'}"
Chicken Fried Chicken,4.7,6,45 mins,"['30  saltine crackers', '2 tablespoons all-purpose flour', '2 tablespoons dry potato flakes', '1 teaspoon seasoned salt', '½ teaspoon ground black pepper', '1  egg', '6  skinless, boneless chicken breast halves', '2 cups vegetable oil for frying']","A fun chicken recipe the kids can help prepare. They love crushing the crackers. It does not matter if the measurements aren't perfect, just wing it!","['Place crackers in a large resealable plastic bag; seal bag and crush crackers with a rolling pin until they are coarse crumbs. Add the flour, potato flakes, seasoned salt, and pepper and mix well.', 'Beat egg in a shallow dish or bowl. One by one, dredge chicken pieces in egg, then place in bag with crumb mixture. Seal bag and shake to coat.', 'Heat oil in a deep-fryer or large saucepan to 350 degrees F (175 degrees C).', 'Fry chicken, turning frequently, until golden brown and juices run clear, 15 to 20 minutes.']","{'Calories': '887', 'Fat': '80g', 'Carbs': '14g', 'Protein': '29g'}"
Simple Chicken Brine,4.7,,4 hrs 10 mins,"['1 gallon warm water', '¾ cup kosher salt', '¾ cup soy sauce', '⅔ cup sugar', '¼ cup olive oil']",This simple chicken brine will help make the meat more tender and juicy.,"['Gather all ingredients.', 'Pour warm water into a container that is twice the volume of the water.', 'Add salt, soy sauce, sugar, and olive oil; stir until sugar and salt have dissolved.', 'Allow brine to cool to room temperature.']",{}
Baked Chicken Wings,4.7,2,45 mins,"['3 tablespoons olive oil', '3 cloves garlic, pressed', '2 teaspoons chili powder', '1 teaspoon garlic powder', 'salt and ground black pepper to taste', '10  chicken wings']","These easy chicken wings are coated with a blend of spices, garlic, and olive oil and baked in the oven until crisp, flavorsome, and delicious. No one will be able to resist!","['Gather the ingredients. Preheat the oven to 375 degrees F (190 degrees C).', 'Combine olive oil, garlic, chili powder, garlic powder, salt, and pepper in a large, resealable bag; seal and shake to combine. Add chicken wings; reseal and shake to coat. Arrange chicken wings on a baking sheet.', 'Cook chicken wings in the preheated oven until crisp and cooked through, about 30 to 45 minutes.', 'Serve hot and enjoy!']","{'Calories': '532', 'Fat': '43g', 'Carbs': '4g', 'Protein': '32g'}"
Restaurant-Style Tequila Lime Chicken,4.6,4,2 hrs 50 mins,"['1 cup water', '⅓ cup teriyaki sauce', '2 tablespoons lime juice', '2 teaspoons minced garlic', '1 teaspoon liquid smoke flavoring', '½ teaspoon salt', '¼ teaspoon ground ginger', '¼ teaspoon tequila', '4  skinless, boneless chicken breast halves', '¼ cup mayonnaise', '¼ cup sour cream', '1 tablespoon milk', '2 teaspoons minced tomato', '1 ½ teaspoons chopped green chile peppers', '1 teaspoon minced onion', '¼ teaspoon dried parsley', '¼ teaspoon hot pepper sauce', '1 pinch salt', '1 pinch dried dill weed', '1 pinch paprika', '1 pinch cayenne pepper', '1 pinch ground cumin', '1 pinch chili powder', '1 pinch ground black pepper', '1 cup shredded Cheddar/Monterey Jack cheese blend', '2 cups crumbled corn chips']","This spicy, marinated broiled chicken dish is the same as that of a well-known restaurant chain's Tequila Lime Chicken. Enjoy! Serve with rice and pico de gallo salsa, if desired.","['Combine water, teriyaki sauce, lime juice, garlic, liquid smoke, salt, ginger, and tequila in a medium nonporous glass bowl and mix all together. Add chicken and turn to coat; cover bowl and refrigerate for 2 to 3 hours.', 'Meanwhile, make the Mexi-Ranch Dressing: mix mayonnaise, sour cream, milk, tomato, peppers, onion, parsley, hot pepper sauce, salt, dill weed, paprika, cayenne pepper, cumin, chili powder, and ground black pepper in a medium bowl and mix well until smooth. Cover bowl and chill until needed.', ""Set oven rack about 6 inches from the heat source and preheat the oven's broiler, or preheat an outdoor grill for medium-high heat and lightly oil the grate."", 'Remove chicken from marinade, discarding any remaining marinade. Grill or broil chicken for 3 to 5 minutes per side, or until chicken is cooked through and juices run clear.', 'Arrange cooked chicken in a 9x13-inch baking dish. Spread a layer of Mexi-Ranch dressing over each piece of chicken, followed by 1/4 cup of cheese blend. Broil in preheated oven for 2 to 3 minutes, or just until cheese has melted.', 'Spread a bed of about 1/2 cup crumbled corn chips or tortilla strips on each of 4 plates. Slide a chicken breast onto the chips on each plate and serve.']","{'Calories': '1030', 'Fat': '65g', 'Carbs': '68g', 'Protein': '41g'}"
Indian Chicken Curry (Murgh Kari),4.7,6,1 hr,"['2 pounds skinless, boneless chicken breast halves', '2 teaspoons salt', '½ cup cooking oil', '1 ½ cups chopped onion', '1 tablespoon minced garlic', '1 ½ teaspoons minced fresh ginger root', '1 tablespoon curry powder', '1 teaspoon ground cumin', '1 teaspoon ground turmeric', '1 teaspoon ground coriander', '1 teaspoon cayenne pepper', '1 tablespoon water', '1 (15 ounce) can crushed tomatoes', '1 cup plain yogurt', '1 tablespoon chopped fresh cilantro', '1 teaspoon salt', '½ cup water', '1 teaspoon garam masala', '1 tablespoon chopped fresh cilantro', '1 tablespoon fresh lemon juice']",This is a really good recipe for spicy Indian chicken curry. It's pretty easy to make and tastes better than takeout!,"['Gather all ingredients.', 'Sprinkle the chicken breasts with 2 teaspoons salt. Heat oil in a large skillet over high heat; partially cook the chicken in the hot oil in batches until completely browned on all sides. Transfer browned chicken breasts to a plate and set aside.', 'Reduce the heat to medium and add onion, garlic, and ginger to the oil remaining in the skillet. Cook and stir until onion turns soft and translucent, 5 to 8 minutes. Stir curry powder, cumin, turmeric, coriander, cayenne, and 1 tablespoon of water into the onion mixture; allow to heat together for about 1 minute while stirring.', 'Add tomatoes, yogurt, 1 tablespoon chopped cilantro, and 1 teaspoon salt to the mixture; stir to combine.', 'Return chicken breast to the skillet along with any juices on the plate. Pour in 1/2 cup water and bring to a boil, turning the chicken to coat with the sauce. Sprinkle garam masala and 1 tablespoon cilantro over the chicken.', 'Cover the skillet and simmer until chicken breasts are no longer pink in the center and the juices run clear, about 20 minutes. An instant-read thermometer inserted into the center should read at least 165 degrees F (74 degrees C). Drizzle with lemon juice to serve.', 'Drizzle with lemon juice to serve.']","{'Calories': '427', 'Fat': '24g', 'Carbs': '15g', 'Protein': '38g'}"
